"cov.day3.b1"	"cov.day3.b2"	"cov.day3.b5"	"cov.day6.b7"	"cov.day6.b8"	"cov.day6.b9"	"cov.day9.b11"	"cov.day9.b12"	"cov.day9.b14"	"cov.day12.b16"	"cov.day12.b17"	"cov.day12.b19"	"cov.day19.b28"	"cov.day19.b32"	"cov.day19.b33"	"unnorm.day3.b1"	"unnorm.day3.b2"	"unnorm.day3.b5"	"unnorm.day6.b7"	"unnorm.day6.b8"	"unnorm.day6.b9"	"unnorm.day9.b11"	"unnorm.day9.b12"	"unnorm.day9.b14"	"unnorm.day12.b16"	"unnorm.day12.b17"	"unnorm.day12.b19"	"unnorm.day19.b28"	"unnorm.day19.b32"	"unnorm.day19.b33"	"unnorm.LG1"	"unnorm.LG2"	"unnorm.LG3"	"functional.category"	"protein.annotation"	"Accession"	"Taxa"	"norm.day3.b1"	"norm.day3.b2"	"norm.day3.b5"	"norm.day6.b7"	"norm.day6.b8"	"norm.day6.b9"	"norm.day9.b11"	"norm.day9.b12"	"norm.day9.b14"	"norm.day12.b16"	"norm.day12.b17"	"norm.day12.b19"	"norm.day19.b28"	"norm.day19.b32"	"norm.day19.b33"	"ave.unnorm.day3"	"ave.unnorm.day6"	"ave.unnorm.day9"	"ave.unnorm.day12"	"ave.unnorm.day19"	"ave.norm.day3"	"ave.norm.day6"	"ave.norm.day9"	"ave.norm.day12"	"ave.norm.day19"
"181-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	1.051	1.4818	1.012028337	1.5909	1.0886	1.239062071	1.0745	0.7262	0.91961813	1.5209	1.1671	0.8749488	1.2136	0.9624	0.986800253	1.6541	0.9295	1.325617433	"-"	"kegg:surface_antigen_(D15)_uniprot:F5UDA7_9CYAN_Surface_antigen_(D15)_(TrEMBL)_pfam:Bac_surface_Ag"	"Prok_bin48_NODE_116_length_95882_cov_261.392_30"	"Prok_bin48"	0.0497260909015803	0.540651539842009	0.0884400064068272	0.0844772762713923	0.0627320525528129	0.0710231626273595	0.0827583895435516	0.0326997826984166	0.0480512552572104	0.21970506072673	0.0409118786265463	0.0367955268151423	0.0483655861239707	0.0333330323985791	0.0276100680059191	1.18160944566667	1.306187357	0.90677271	1.1876496	1.054266751	0.226272545716805	0.0727441638171882	0.0545031424997262	0.0991374887228063	0.036436228842823
"182-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.95	1.3074	1.019279122	1.5923	1.0421	1.129797697	1.0799	0.6028	0.75188905	1.6122	1.1224	0.756526351	1.2785	0.9039	0.964614093	1.5724	1.4616	1.539005041	"-"	"kegg:isocitrate_dehydrogenase_(NADP)_uniprot:F5UDB6_9CYAN_Isocitrate_dehydrogenase_[NADP]_(TrEMBL)_pfam:Iso_dh"	"Prok_bin48_NODE_116_length_95882_cov_261.392_54"	"Prok_bin48"	0.0449474656103723	0.477019721412769	0.0890736442689402	0.0845516166993136	0.0600524269385324	0.0647601177116874	0.083174299551495	0.0271432511850806	0.0392871905066198	0.232894009404717	0.0393449512213483	0.0318153309480306	0.0509520450391369	0.0313068661524061	0.026989312807967	1.092226374	1.25473256566667	0.811529683333333	1.16370878366667	1.04900469766667	0.203680277097361	0.0697880537831778	0.0498682470810651	0.101351430524699	0.0364160746665034
"183-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.8622	0.8452	1.100583911	1.788	0.862	1.421390891	0.8937	0.8336	0.797318399	0.8622	1.0416	0.717077851	1.78	0.8465	1.660387158	0.8308	0.7973	0.965166509	"-"	"kegg:adenosylhomocysteinase_uniprot:A0A2G4F382_9CYAN_Adenosylhomocysteinase_(TrEMBL)_pfam:2-Hacid_dh_C"	"Prok_bin48_NODE_116_length_95882_cov_261.392_57"	"Prok_bin48"	0.04079337352554	0.308380808121518	0.0961787773933556	0.094943346516594	0.0496739199894587	0.0814742689420443	0.068833106314632	0.0375358563169927	0.0416609336656068	0.124551057504495	0.0365125634285071	0.0301563443426805	0.0709383184745121	0.0293187987587253	0.0464566179519766	0.935994637	1.357130297	0.841539466333333	0.873625950333333	1.428962386	0.148450986346805	0.0753638451493657	0.0493432987657438	0.0637399884252276	0.0489045783950713
"184-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.8224	1.2299	1.143671632	1.8295	1.2674	0.946890116	0.867	0.7551	0.45533061	1.6304	1.0736	0.554575324	1.5056	1.0072	0.929598987	2.2458	1.472	1.454426765	"-"	"kegg:ATP-dependent_Clp_protease_proteolytic_subunit_ClpP_uniprot:F5UPF3_9CYAN_ATP-dependent_Clp_protease_proteolytic_subunit_(TrEMBL)_pfam:CLP_protease"	"Prok_bin48_NODE_116_length_95882_cov_261.392_7"	"Prok_bin48"	0.0389103112820739	0.448742967236932	0.0999441643711469	0.0971470092014031	0.0730356452374014	0.0542758367582275	0.0667766623864674	0.0340011097708268	0.0237916224721791	0.235523131704163	0.0376343011682462	0.02332238321289	0.0600026585928233	0.0348846947546227	0.0260096115412159	1.06532387733333	1.34793003866667	0.69247687	1.08619177466667	1.147466329	0.195865814296718	0.0748194970656773	0.0415231315431578	0.0988266053617662	0.0402989882962206
"185-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.8557	1.2606	1.362871051	1.5961	1.1594	0.966106772	0.8864	0.8157	0.62434274	1.4855	1.0419	0.695650637	1.1507	0.8559	0.883221567	1.8791	1.4556	1.243728876	"-"	"kegg:RNAse_R_uniprot:F5UPF1_9CYAN_VacB_and_RNase_II_family_3'-5'_exoribonuclease_(TrEMBL)_pfam:DUF4423"	"Prok_bin48_NODE_116_length_95882_cov_261.392_9"	"Prok_bin48"	0.0404858382345217	0.459944210504006	0.119099752522166	0.0847533978608142	0.0668119986493949	0.0553773374143976	0.06827085760019	0.03672984404723	0.0326227282706205	0.21459127339704	0.0365230797198172	0.0292552337550544	0.0458588331846186	0.0296443707709308	0.0247119996727083	1.15972368366667	1.24053559066667	0.775480913333333	1.07435021233333	0.963273855666667	0.206509933753565	0.0689809113082022	0.0458744766393468	0.0934565289573037	0.0334050678760859
"186-Prok_bin48-ribosomal-protein"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.7371	1.1215	0.979975343	1.5084	1.0194	1.083815575	0.9801	0.766	0.794749618	1.0774	1.1865	0.88469243	0.9935	1.1263	1.321133018	1.0702	0.8227	1.138889194	"ribosomal-protein"	"kegg:SSU_ribosomal_protein_S30P_uniprot:F5UKB0_9CYAN_Ribosome_hibernation_promoting_factor_(TrEMBL)_pfam:Ribosomal_S30AE"	"Prok_bin48_NODE_122_length_93784_cov_249.53_28"	"Prok_bin48"	0.0348745020014794	0.40919199752518	0.0856389316828513	0.0800965010546031	0.0587443086279051	0.0621244178503226	0.0754876664417263	0.034491921711632	0.0415267114841336	0.155638261836399	0.0415919321312632	0.0372052902195173	0.0395939434856336	0.0390097614199082	0.0369644944465222	0.946191781	1.20387185833333	0.846949872666667	1.04953081	1.14697767266667	0.176568477069837	0.0669884091776103	0.050502099879164	0.0781451613957264	0.0385227331173547
"187-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.9338	1.1413	1.002221227	2.0003	1.0934	1.118611813	1.1357	0.7075	0.770106554	1.2579	1.046	0.759471416	1.4718	0.825	1.273656726	2.0255	1.2161	1.878286958	"-"	"kegg:phenylalanyl-tRNA_synthetase_beta_subunit_uniprot:K9VK71_9CYAN_Phenylalanine--tRNA_ligase_beta_subunit_(TrEMBL)_pfam:B3_4"	"Prok_bin48_NODE_122_length_93784_cov_249.53_36"	"Prok_bin48"	0.0441809930389112	0.416416252140427	0.0875829742077056	0.106216541407798	0.0630086590678354	0.0641189417148937	0.0874720363002435	0.031857747533916	0.0402390790202284	0.181712798927052	0.0366668023677212	0.0319391841588469	0.0586556276015657	0.0285741393691061	0.0356361368110192	1.02577374233333	1.40410393766667	0.871102184666667	1.02112380533333	1.190152242	0.182726739795681	0.0777813807301757	0.0531896209514626	0.0834395951512068	0.0409553012605637
"188-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.8232	1.129	0.880928874	1.826	1.082	1.10146606	1	0.6786	0.78089112	1.3762	1.1395	0.77653861	1.316	0.6873	0.999812901	1.463	1.1285	1.671456575	"-"	"kegg:sulfate_adenylyltransferase_uniprot:K9VL29_9CYAN_Sulfate_adenylyltransferase_(TrEMBL)_pfam:ATP-sulfurylase"	"Prok_bin48_NODE_122_length_93784_cov_249.53_51"	"Prok_bin48"	0.03894816177943	0.411928457606713	0.0769833733030333	0.0969611581315999	0.062351718594657	0.06313614542713	0.0770203718413696	0.0305564204615058	0.0408025867597988	0.198802093873447	0.0399443798260214	0.0326569363227292	0.0524465320856505	0.023804855743499	0.0279741539444106	0.944376291333333	1.33648868666667	0.819830373333333	1.09741287	1.00103763366667	0.175953330896392	0.074149674051129	0.0494597930208914	0.0904678033407326	0.0347418472578534
"189-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	1.0858	0.8183	0.869211674	1.7202	1.0394	1.024563313	1.5306	1.2278	0.764499962	1.5478	1.2714	0.832297742	1.5738	1.0014	0.876967788	1.5854	0.6773	0.779910386	"-"	"kegg:Glutathione_S-transferase_domain_protein_uniprot:K9VK98_9CYAN_Glutathione_S-transferase_domain_protein_(TrEMBL)_pfam:Glutaredoxin"	"Prok_bin48_NODE_122_length_93784_cov_249.53_64"	"Prok_bin48"	0.0513725875365708	0.298566037962421	0.0759594205092391	0.0913431457929782	0.0598968357738322	0.0587280722284535	0.1178873811404	0.0552861376991407	0.0399461272236876	0.223590961268218	0.0445680425720084	0.035001858261813	0.0627206323680827	0.0346838098960277	0.0245370227582223	0.924437224666667	1.261387771	1.17429998733333	1.217165914	1.150722596	0.141966015336077	0.069989351265088	0.0710398820210762	0.10105362070068	0.0406471550074442
"190-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.7442	1.4545	1.021561503	1.6937	1.0088	1.10520339	0.9545	0.5552	0.63424778	1.4015	0.9193	0.551881254	1.2481	0.8887	1.251192212	1.5745	0.9426	1.392081976	"-"	"kegg:hypothetical_protein_uniprot:F5ULP3_9CYAN_Uncharacterized_protein_(TrEMBL)_pfam:ChW"	"Prok_bin48_NODE_122_length_93784_cov_249.53_71"	"Prok_bin48"	0.0352104251655148	0.53069082514523	0.0892730989510702	0.0899359876930399	0.0581334692405637	0.0633503695589105	0.0735159449225873	0.0249998889481698	0.0331402796213892	0.202456862784215	0.0322254220044418	0.0232090854691513	0.0497405142067632	0.0307804092816056	0.0350075934382603	1.073420501	1.26923446333333	0.71464926	0.957560418	1.12933073733333	0.218391449753938	0.0704732754975047	0.0438853711640488	0.085963790085936	0.0385095056422097
"191-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.8963	1.2078	1.122395277	1.7245	0.9915	1.117648959	0.9332	0.7887	0.846019685	1.5175	1.1368	0.751901984	1.2719	0.9265	1.083998442	1.9272	1.1261	1.718616843	"-"	"kegg:cell_division_protein_FtsZ_uniprot:K9VQK8_9CYAN_Cell_division_protein_FtsZ_(TrEMBL)_pfam:FtsZ_C"	"Prok_bin48_NODE_126_length_92663_cov_264.742_21"	"Prok_bin48"	0.0424067509753439	0.440679531530016	0.0980848478839309	0.0915714771073078	0.0571365332593368	0.0640637508266977	0.0718754110023661	0.0355140713498226	0.0442056398306977	0.219213906011449	0.0398497332042309	0.0316208555456396	0.0506890153189505	0.0320896243945174	0.0303296139324464	1.07549842566667	1.27788298633333	0.855973228333333	1.13540066133333	1.094132814	0.193723710129764	0.0709239203977808	0.0505317073942955	0.0968948315871065	0.0377027512153048
"192-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.9578	2.2386	1.12338376	1.8686	1.5934	1.140560985	0.9186	0.5443	0.881026804	1.5482	0.8225	0.512794197	1.25	0.8004	0.81986624	3.2405	0.3594	1.073126912	"-"	"kegg:hypothetical_protein_uniprot:F5UGI9_9CYAN_Uncharacterized_protein_(TrEMBL)_pfam:-"	"Prok_bin48_NODE_126_length_92663_cov_264.742_52"	"Prok_bin48"	0.0453165079595943	0.816778605135862	0.0981712302900918	0.0992232311526329	0.0918218377160133	0.0653770704632249	0.0707509135734821	0.0245090770073646	0.0460348077820609	0.223648744175898	0.0288321653417311	0.0215652991653487	0.0498162348837866	0.0277221104861001	0.0229393563422173	1.43992792	1.534186995	0.781308934666667	0.961164732333333	0.956755413333333	0.320088781128516	0.085474046443957	0.0470982661209692	0.0913487362276593	0.033492567237368
"193-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.9468	1.0159	0.959501028	1.9971	0.8693	1.194180727	0.812	0.7918	0.677307785	1.4013	0.6372	0.885534883	1.1873	1.0009	1.53984797	1.7848	1.2646	2.56479001	"-"	"kegg:RNP-1_like_RNA-binding_protein_uniprot:K9VP53_9CYAN_RNP-1_like_RNA-binding_protein_(TrEMBL)_pfam:RRM_1"	"Prok_bin48_NODE_126_length_92663_cov_264.742_57"	"Prok_bin48"	0.0447960636209479	0.370662639577201	0.0838497045598806	0.106046620429692	0.0500945923977221	0.0684505594717534	0.0625405419351921	0.0356536600669324	0.0353902214441235	0.202427971330375	0.0223366027425545	0.0372407191519897	0.0473174525420159	0.034666492235804	0.0430840051380454	0.974067009333333	1.353526909	0.760369261666667	0.974678294333333	1.24268265666667	0.166436135919343	0.0748639240997226	0.0445281411487493	0.0873350977416396	0.0416893166386218
"194-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.8538	1.9348	1.019642472	1.6111	1.0816	1.188471913	0.9725	0.6377	0.789446533	1.3493	1.0534	0.772487044	1.0589	0.6659	0.946721435	1.6514	1.0594	1.648684621	"-"	"kegg:protoporphyrin_IX_magnesium-chelatase_uniprot:F5UGE3_9CYAN_Mg-protoporphyrin_IX_chelatase_(TrEMBL)_pfam:AAA"	"Prok_bin48_NODE_126_length_92663_cov_264.742_6"	"Prok_bin48"	0.0403959433033009	0.70593372876658	0.0891053970125671	0.0855499024456849	0.0623286680517384	0.0681233296786534	0.0749023116157319	0.0287147499680257	0.0412496183270145	0.194916193331959	0.0369262042200359	0.0324865497750863	0.0422003288947533	0.0230636598859246	0.0264886871720445	1.26941415733333	1.293723971	0.799882177666667	1.05839568133333	0.890507145	0.278478356360816	0.0720006333920256	0.0482888933035907	0.0881096491090272	0.0305842253175741
"195-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	1.1015	1.0608	1.00618577	1.6835	1.0485	1.26192081	1.295	0.758	0.850103915	1.8148	1.1154	1.012714744	1.3029	0.9046	1.181775808	1.6451	0.8864	1.381426215	"-"	"kegg:hypothetical_protein_uniprot:F5UGF2_9CYAN_Uncharacterized_protein_(TrEMBL)_pfam:Cyd_oper_YbgE"	"Prok_bin48_NODE_126_length_92663_cov_264.742_8"	"Prok_bin48"	0.0521154035471843	0.387044913931976	0.0879294311155818	0.0893943645753277	0.0604212356252291	0.072333427847683	0.0997413815345736	0.034131692764252	0.0444190462130394	0.262161052144697	0.0390995710907804	0.0425892035270429	0.0519244579440684	0.0313311108767193	0.0330653648774754	1.05616192333333	1.33130693666667	0.967701305	1.31430491466667	1.12975860266667	0.175696582864914	0.07404967601608	0.0594307068372884	0.11461660892084	0.0387736445660877
"196-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.8505	0.8682	0.937097311	1.6188	0.9032	1.106901288	1.0303	0.5605	0.824428797	1.503	1.1783	0.727431059	1.2019	0.7669	1.103230119	1.4011	1.1122	1.39391911	"-"	"kegg:DNA_gyrase_subunit_B_uniprot:F5UL25_9CYAN_DNA_gyrase_subunit_B_(TrEMBL)_pfam:DNA_gyraseB"	"Prok_bin48_NODE_132_length_91376_cov_264.575_2"	"Prok_bin48"	0.040239810001707	0.316772619038218	0.0818918691885013	0.0859587747992519	0.0520481259100686	0.0634476932431722	0.0793540891081631	0.025238540625809	0.0430774875719794	0.217119275608045	0.041304486835455	0.0305917432398351	0.0478993061654585	0.0265618272511121	0.030867704501661	0.885265770333333	1.20963376266667	0.805076265666667	1.13624368633333	1.02401003966667	0.146301432742809	0.0671515313174976	0.0492233724353172	0.096338501894445	0.0351096126394105
"197-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.7179	0.6144	0.729851067	1.7782	0.8111	0.92599839	1.0647	0.6888	0.886229634	1.0172	1.0533	0.67727524	1.2198	0.9292	1.333244205	0.6914	0.3433	0.485587478	"-"	"kegg:outer_membrane_autotransporter_TapA_uniprot:K9VC47_9CYAN_Outer_membrane_autotransporter_TapA_(TrEMBL)_pfam:Trypan_PARP"	"Prok_bin48_NODE_132_length_91376_cov_264.575_28"	"Prok_bin48"	0.0339660900649329	0.224170809879154	0.063780855418389	0.0944229635211451	0.0467407384030742	0.0530783209210534	0.0820035898995062	0.0310157123694153	0.04630666248374	0.146941934230541	0.0369226987895992	0.0284824657793141	0.0486126746489943	0.0321831397597253	0.0373033580571524	0.687383689	1.17176613	0.879909878	0.91592508	1.16074806833333	0.107305918454159	0.0647473409484242	0.0531086549175538	0.0707823662664848	0.0393663908219574
"198-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.8776	1.2032	1.456586719	2.2327	1.2547	1.174892664	1.0927	0.7553	0.781992018	1.4212	0.9634	0.933511198	1.3473	0.7775	1.085296273	1.6538	1.092	1.334030867	"-"	"kegg:Heme_oxygenase_uniprot:F5UL24_9CYAN_Heme_oxygenase_(TrEMBL)_pfam:Heme_oxygenase"	"Prok_bin48_NODE_132_length_91376_cov_264.575_3"	"Prok_bin48"	0.041521995599645	0.439001169346676	0.127289458259961	0.118557052442729	0.0723037904997376	0.0673449657591558	0.0841601603110646	0.0340101154945113	0.0408601101263837	0.205302670987461	0.0337713168270197	0.0392583386802115	0.0536939306071405	0.0269289616478546	0.03036592645067	1.17912890633333	1.55409755466667	0.876664006	1.106037066	1.070032091	0.202604207735427	0.0860686029005408	0.0530101286439865	0.0927774421648973	0.0369962729018884
"199-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.619	0.6687	0.814862013	1.4894	0.8505	1.007342339	1.1035	0.7987	0.903582335	1.0818	1.1563	0.739666224	1.1948	0.9367	1.257029772	0.8602	0.6022	0.841644049	"-"	"kegg:Peptidoglycan-binding_domain_1_protein_uniprot:A0A2G4F153_9CYAN_Peptidoglycan-binding_protein_(TrEMBL)_pfam:PG_binding_1"	"Prok_bin48_NODE_132_length_91376_cov_264.575_31"	"Prok_bin48"	0.0292868223292847	0.24398278086945	0.0712098653917436	0.0790875952471002	0.0490112168805506	0.0577409642653985	0.0849919803269513	0.0359643575340476	0.0472133639046364	0.15627387382088	0.0405332921393844	0.0311062868815261	0.0476163499513186	0.0324429046630809	0.0351709247994944	0.700854004333333	1.11574744633333	0.935260778333333	0.992588741333333	1.129509924	0.114826489530159	0.0619465921310164	0.0560565672552118	0.0759711509472636	0.0384100598046313
"200-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.8291	0.6653	1.081330538	1.8406	0.6681	1.134647727	0.9222	0.6261	0.576969206	1.4656	0.6765	0.397761703	1.2308	0.9441	1.360301018	2.1542	1.3332	1.375065804	"-"	"kegg:Phycocyanin_uniprot:A0A2G4F282_9CYAN_Bleomycin_hydrolase_(TrEMBL)_pfam:DUF4350"	"Prok_bin48_NODE_132_length_91376_cov_264.575_47"	"Prok_bin48"	0.0392273091974313	0.242742252299155	0.0944962470044135	0.0977364225942075	0.0385001693096953	0.0650381219194666	0.071028186912111	0.0281924179943248	0.0301473988915986	0.211716573739954	0.0237142369041715	0.0167276661317476	0.0490510575159716	0.0326992060343916	0.0380603911493941	0.858576846	1.21444924233333	0.708423068666667	0.846620567666667	1.17840033933333	0.125488602833667	0.0670915712744565	0.0431226679326782	0.0840528255919576	0.0399368848999191
"201-Prok_bin48-photosystem"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.6713	0.5791	1.195692778	2.7502	0.4945	1.186139941	0.7513	0.3883	0.358526975	1.4373	0.5932	0.240432173	1.4377	1.0894	1.727539659	2.3036	1.3808	1.257052183	"photosystem"	"kegg:Phycocyanin_uniprot:A0A2G4F250_9CYAN_Bleomycin_hydrolase_(TrEMBL)_pfam:Phycobilisome"	"Prok_bin48_NODE_132_length_91376_cov_264.575_48"	"Prok_bin48"	0.0317612985939399	0.21129120442874	0.104490233208674	0.14603646062077	0.0284962336830479	0.067989660808889	0.057865405364421	0.0174846125334552	0.0187335053869811	0.207628433021585	0.0207942133504132	0.0101112527599837	0.057296640713936	0.037731718095399	0.0483355038903829	0.815364259333333	1.476946647	0.499375658333333	0.756977391	1.41821321966667	0.115847578743785	0.080840785037569	0.0313611744282858	0.0795112997106608	0.0477879542332393
"202-Prok_bin48--"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	1.3669	1.2708	0	2.2999	0.8282	0	1.2858	2.0017	0	1.689	1.5077	0	1.4572	1.0403	0	2.2571	1.768	0	"-"	"kegg:PBS_lyase_HEAT_domain_protein_repeat-containing_protein_uniprot:A0A2G4F256_9CYAN_HEAT_repeat_domain-containing_protein_(TrEMBL)_pfam:Arm"	"Prok_bin48_NODE_132_length_91376_cov_264.575_49"	"Prok_bin48"	0.0646723060450715	0.46366579621489	0	0.12212539298295	0.0477261491128419	0	0.099032794113633	0.0901337854963104	0	0.2439883276793	0.0528513746938942	0	0.0580737739781231	0.0360311238614316	0	0.879233333333333	1.0427	1.09583333333333	1.06556666666667	0.8325	0.176112700753321	0.0566171806985973	0.0630555265366478	0.0989465674577314	0.0313682992798516
"203-Prok_bin48-photosystem"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.8286	0.9464	0.870647252	2.3319	1.039	1.120214462	1.1066	0.6761	0.702578068	1.2328	1.2114	0.752053082	1.4252	0.5635	1.249653697	1.7511	1.0837	1.295673847	"photosystem"	"kegg:Phycocyanin_uniprot:A0A2G4F2A1_9CYAN_Phycobilisome_protein_(TrEMBL)_pfam:Phycobilisome"	"Prok_bin48_NODE_132_length_91376_cov_264.575_61"	"Prok_bin48"	0.0392036526365837	0.345304776154999	0.0760848740394178	0.123824602764008	0.0598737852309137	0.0642108057168881	0.0852307434796596	0.0304438489154496	0.0367106269246624	0.178086921470125	0.0424647843099976	0.0316272098951863	0.0567984783650981	0.0195170030721107	0.0349645467288082	0.881882417333333	1.497038154	0.828426022666667	1.065417694	1.07945123233333	0.153531100943667	0.0826363979039365	0.0507950731065905	0.0840596385584363	0.0370933427220057
"204-Prok_bin48-photosystem"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.7773	0.9924	1.105503321	1.8013	0.9132	1.00812161	0.9302	0.567	0.78652215	1.3206	1.2002	0.695825934	1.0805	0.7761	1.231188178	1.1484	0.7352	0.895577788	"photosystem"	"kegg:Phycobilisome_linker_polypeptide_uniprot:A0A2G4F299_9CYAN_Photosystem_I_reaction_center_subunit_XII_(TrEMBL)_pfam:CpcD"	"Prok_bin48_NODE_132_length_91376_cov_264.575_63"	"Prok_bin48"	0.0367764894936236	0.362088397988399	0.0966086790433505	0.0956495805818461	0.0526243894830321	0.0577856321575559	0.071644349886842	0.0255312266455553	0.0410968154739402	0.190770269705911	0.042072176101089	0.0292626057812393	0.0430611534335451	0.0268804721992282	0.0344478927922039	0.958401107	1.24087387	0.761240716666667	1.07220864466667	1.029262726	0.165157855508458	0.0686865340741447	0.0460907973354458	0.0873683505294131	0.0347965061416591
"205-Prok_bin48-photosystem"	211.3578568	27.40767187	114.4310565	188.3228331	173.5317044	174.4588702	129.8357793	222.0809865	191.3827485	69.224623	285.2716715	237.78673	250.922215	288.7226066	357.405948	0.6268	0.5879	0.740204632	1.8111	0.7371	0.870297015	0.9897	0.7039	0.77807951	0.9692	1.1486	0.679289699	1.2117	0.9112	1.233158827	1.0918	0.8211	0.994398952	"photosystem"	"kegg:Phycobilisome_linker_polypeptide_uniprot:K9VCF5_9CYAN_Phycobilisome_linker_polypeptide_(TrEMBL)_pfam:CpcD"	"Prok_bin48_NODE_132_length_91376_cov_264.575_64"	"Prok_bin48"	0.0296558646785067	0.214501984257738	0.064685641699026	0.096169963577295	0.0424763879631439	0.0498855124994384	0.0762270620114035	0.031695644507595	0.0406556764441075	0.140007985308927	0.0402633739957597	0.0285671828280745	0.0482898654469474	0.0315597039916721	0.0345030303468816	0.651634877333333	1.139499005	0.82389317	0.932363233	1.11868627566667	0.102947830211757	0.0628439546799591	0.0495261276543687	0.069612847377587	0.0381175332618337
