contig,count.0.3.km,count.0.5.km,count.0.6.km,count.0.7.km,count.0.9.km,count.1.1.km,count.2.7.km,count.10.1.km,count.15.1.km,count.33.9.km,coverage.0.3.km,coverage.0.5.km,coverage.0.6.km,coverage.0.7.km,coverage.0.9.km,coverage.1.1.km,coverage.2.7.km,coverage.10.1.km,coverage.15.1.km,coverage.33.9.km,dataset.order,bin.number,lineage,annotation.1,annotation.2,hypothetical,gene.length,gc.gene,gc.contig,core.gene.percent
bin11;contig-10174-gene-3;Gammaproteobacteria-Cellvibrionales;Methyl-accepting_chemotaxis_protein;-,6,12,1,4,5,0,7,2,0,0,101.3073826,418.6114094,57.84496644,112.9375839,143.0852349,30.55637584,95.27919463,25.54295302,21.8738255,15.02483221,11,bin11,Gammaproteobacteria-Cellvibrionales,Methyl-accepting_chemotaxis_protein,-,known,1641,46.3,46.3,30
bin1;contig-10235-gene-1;Gammaproteobacteria-Thiotrichaceae;-;-,50,5,1,41,2,4,18,0,1,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,12,bin1,Gammaproteobacteria-Thiotrichaceae,-,-,hypothetical,612,36.4,36.3,83
bin2;contig-10242-gene-1;Gammaproteobacteria;Rhs_family_protein;-,0,5,0,14,1,2,1,0,0,0,9.044358081,16.73452626,4.61503707,69.14714372,17.43534292,0.78650599,18.54470948,0.380739125,0.48212769,0.517589194,13,bin2,Gammaproteobacteria,Rhs_family_protein,-,known,4650,37,37,10
bin46;contig-10245-gene-2;Bacteroidetes;Flagellin_and_related_hook-associated_proteins;-,7,50,28,48,70,0,39,0,0,0,14.33440755,13.49324275,13.23555455,13.43549275,9.256828289,6.89634147,4.633554739,7.538547903,6.956319714,3.049561322,14,bin46,Bacteroidetes,Flagellin_and_related_hook-associated_proteins,-,known,3870,51.9,51.9,27
bin11;contig-10258-gene-2;Gammaproteobacteria-Cellvibrionales;ATPases_involved_in_chromosome_partitioning;-,11,19,1,7,13,0,7,0,0,0,101.3073826,418.6114094,57.84496644,112.9375839,143.0852349,30.55637584,95.27919463,25.54295302,21.8738255,15.02483221,15,bin11,Gammaproteobacteria-Cellvibrionales,ATPases_involved_in_chromosome_partitioning,-,known,942,44.6,44.7,30
bin11;contig-10258-gene-3;Gammaproteobacteria-Cellvibrionales;Uncharacterized_protein_involved_in_exopolysaccharide_biosynthesis;-,15,8,0,5,16,3,6,3,5,0,101.3073826,418.6114094,57.84496644,112.9375839,143.0852349,30.55637584,95.27919463,25.54295302,21.8738255,15.02483221,16,bin11,Gammaproteobacteria-Cellvibrionales,Uncharacterized_protein_involved_in_exopolysaccharide_biosynthesis,-,known,1560,45,45.1,30
bin11;contig-10258-gene-4;Gammaproteobacteria-Cellvibrionales;Periplasmic_protein_involved_in_polysaccharide_export;-,7,26,2,8,34,0,6,2,2,0,101.3073826,418.6114094,57.84496644,112.9375839,143.0852349,30.55637584,95.27919463,25.54295302,21.8738255,15.02483221,17,bin11,Gammaproteobacteria-Cellvibrionales,Periplasmic_protein_involved_in_polysaccharide_export,-,known,783,43.4,43.4,30
bin14;contig-10267-gene-2;Gammaproteobacteria-Cellvibrionales;Ribosomal_protein_L21;-,3,0,0,0,10,0,0,1,0,0,22.66167247,29.27665505,15.42439024,25.428223,44.62264808,7.624738676,13.93554007,9.600696864,10.77909408,5.391637631,18,bin14,Gammaproteobacteria-Cellvibrionales,Ribosomal_protein_L21,-,known,315,46.3,46.3,82
bin14;contig-10267-gene-4;Gammaproteobacteria-Cellvibrionales;Predicted_GTPase_-_COG0536;-,3,1,0,2,10,0,0,0,1,0,22.66167247,29.27665505,15.42439024,25.428223,44.62264808,7.624738676,13.93554007,9.600696864,10.77909408,5.391637631,19,bin14,Gammaproteobacteria-Cellvibrionales,Predicted_GTPase_-_COG0536,-,known,1200,49.7,49.8,82
bin1;contig-1027-gene-5;Gammaproteobacteria-Thiotrichaceae;-;-,0,0,0,10,1,0,3,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,20,bin1,Gammaproteobacteria-Thiotrichaceae,-,-,hypothetical,2784,31.4,31.4,83
bin21;contig-10274-gene-3;Gammaproteobacteria-Thiotrichales;ATP-dependent_Zn_proteases;-,2,6,3,0,10,0,3,0,2,0,6.973854447,20.74339623,5.561455526,5.177628032,16.14393531,3.241778976,17.66927224,1.942318059,3.150404313,1.172237197,21,bin21,Gammaproteobacteria-Thiotrichales,ATP-dependent_Zn_proteases,-,known,1929,49.2,49.2,80
bin24;contig-1030-gene-3;Gammaproteobacteria;-;-,3,1,11,6,0,8,12,3,2,5,5.243028486,12.02068966,7.822788606,89.88965517,3.050224888,8.404797601,11.77556222,1.403598201,1.652323838,2.542278861,22,bin24,Gammaproteobacteria,-,-,hypothetical,873,43.9,43.8,76
bin24;contig-1030-gene-5;Gammaproteobacteria;Ribosomal_protein_S6;-,4,4,7,6,0,5,11,1,0,1,5.243028486,12.02068966,7.822788606,89.88965517,3.050224888,8.404797601,11.77556222,1.403598201,1.652323838,2.542278861,23,bin24,Gammaproteobacteria,Ribosomal_protein_S6,-,known,474,45.1,45.1,76
bin17;contig-10311-gene-4;Gammaproteobacteria;-;-,0,0,0,0,0,0,0,10,2,0,8.739201878,8.510328638,12.72323944,8.150469484,7.250704225,28.78896714,1.957981221,43.91314554,25.96525822,1.134037559,24,bin17,Gammaproteobacteria,-,-,hypothetical,2121,43,43,31
bin17;contig-10367-gene-2;Gammaproteobacteria;-;-,0,0,0,0,0,6,0,28,8,0,8.739201878,8.510328638,12.72323944,8.150469484,7.250704225,28.78896714,1.957981221,43.91314554,25.96525822,1.134037559,25,bin17,Gammaproteobacteria,-,-,hypothetical,537,47.1,47.1,31
bin17;contig-10367-gene-3;Gammaproteobacteria;PilZ_domain;-,1,0,0,0,0,9,0,13,9,0,8.739201878,8.510328638,12.72323944,8.150469484,7.250704225,28.78896714,1.957981221,43.91314554,25.96525822,1.134037559,26,bin17,Gammaproteobacteria,PilZ_domain,-,known,537,44.5,44.3,31
bin17;contig-10367-gene-5;Gammaproteobacteria;Lipid_A_disaccharide_synthetase;-,0,0,0,0,0,0,0,10,0,0,8.739201878,8.510328638,12.72323944,8.150469484,7.250704225,28.78896714,1.957981221,43.91314554,25.96525822,1.134037559,27,bin17,Gammaproteobacteria,Lipid_A_disaccharide_synthetase,-,known,1149,46.1,46,31
bin7;contig-1037-gene-4;Gammaproteobacteria-Colwellia;ATP-dependent_Zn_proteases;-,0,3,1,3,7,24,1,37,40,24,15.44551251,46.31566655,18.25419056,27.30076461,44.37321012,13.7656784,16.33658173,19.61135073,27.18083706,30.34738124,28,bin7,Gammaproteobacteria-Colwellia,ATP-dependent_Zn_proteases,-,known,1983,40.8,40.9,57
bin7;contig-1037-gene-9;Gammaproteobacteria-Colwellia;Carbamoylphosphate_synthase_large_subunit_(split_gene_in_MJ);-,2,3,0,1,2,5,2,37,29,16,15.44551251,46.31566655,18.25419056,27.30076461,44.37321012,13.7656784,16.33658173,19.61135073,27.18083706,30.34738124,29,bin7,Gammaproteobacteria-Colwellia,Carbamoylphosphate_synthase_large_subunit_(split_gene_in_MJ),-,known,3216,40.6,40.7,57
bin1;contig-10376-gene-2;Gammaproteobacteria-Thiotrichaceae;3-deoxy-D-manno-octulosonic-acid_transferase;-,1,0,0,16,0,0,3,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,30,bin1,Gammaproteobacteria-Thiotrichaceae,3-deoxy-D-manno-octulosonic-acid_transferase,-,known,1260,32,32,83
bin1;contig-10376-gene-3;Gammaproteobacteria-Thiotrichaceae;Biotin-(acetyl-CoA_carboxylase)_ligase;-,0,4,1,28,1,0,4,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,31,bin1,Gammaproteobacteria-Thiotrichaceae,Biotin-(acetyl-CoA_carboxylase)_ligase,-,known,921,28.3,28.3,83
bin32;contig-10390-gene-2;Alphaproteobacteria;ATPases_with_chaperone_activity_ATP-binding_subunit;-,1,3,0,8,16,1,1,4,3,0,5.40169814,11.63018265,5.424286489,14.74251366,9.786137746,2.999929375,4.752000785,3.462666614,3.224033878,2.067736437,32,bin32,Alphaproteobacteria,ATPases_with_chaperone_activity_ATP-binding_subunit,-,known,2586,48,48,89
bin1;contig-10393-gene-2;Gammaproteobacteria-Thiotrichaceae;Enoyl-[acyl-carrier-protein]_reductase_(NADH);-,1,0,0,10,0,0,6,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,33,bin1,Gammaproteobacteria-Thiotrichaceae,Enoyl-[acyl-carrier-protein]_reductase_(NADH),-,known,777,36.7,36.7,83
bin9;contig-10403-gene-1;Gammaproteobacteria-Cycloclasticus;Ribosomal_protein_S1;-,13,5,0,0,0,11,1,1,1,2,29.16253188,23.48027632,27.06585296,13.69591078,13.20462047,26.02246276,13.85143696,7.078757414,5.241950282,2.301095557,34,bin9,Gammaproteobacteria-Cycloclasticus,Ribosomal_protein_S1,-,known,696,37.6,37.6,48
bin1;contig-10408-gene-6;Gammaproteobacteria-Thiotrichaceae;Peptidyl-prolyl_cis-trans_isomerase_(rotamase)_-_cyclophilin_family;-,0,3,0,20,5,0,6,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,35,bin1,Gammaproteobacteria-Thiotrichaceae,Peptidyl-prolyl_cis-trans_isomerase_(rotamase)_-_cyclophilin_family,-,known,1014,33.9,33.9,83
bin1;contig-10416-gene-3;Gammaproteobacteria-Thiotrichaceae;Thiamine_biosynthesis_protein_ThiC;-,6,2,0,21,2,0,1,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,36,bin1,Gammaproteobacteria-Thiotrichaceae,Thiamine_biosynthesis_protein_ThiC,-,known,1851,37.1,37.1,83
bin12;contig-10456-gene-1;Gammaproteobacteria-Cellvibrionales;Cation/multidrug_efflux_pump;-,2,0,3,1,3,18,0,4,3,2,81.35352113,216.2075117,82.18309859,71.33333333,120.4286385,57.46807512,53.85821596,51.27652582,47.48967136,27.62910798,37,bin12,Gammaproteobacteria-Cellvibrionales,Cation/multidrug_efflux_pump,-,known,2904,49.2,49.2,13
bin17;contig-10457-gene-2;Gammaproteobacteria;Outer_membrane_receptor_for_ferrienterochelin_and_colicins;-,24,10,11,47,68,46,4,393,143,6,8.739201878,8.510328638,12.72323944,8.150469484,7.250704225,28.78896714,1.957981221,43.91314554,25.96525822,1.134037559,38,bin17,Gammaproteobacteria,Outer_membrane_receptor_for_ferrienterochelin_and_colicins,-,known,3606,45.9,45.9,31
bin13;contig-10463-gene-5;Gammaproteobacteria;-;-,7,0,11,1,0,102,0,60,7,0,56.77994792,123.4479167,47.00208333,48.42395833,68.1015625,34.11380208,42.93411458,27.56614583,20.7078125,14.43697917,39,bin13,Gammaproteobacteria,-,-,hypothetical,555,47.6,47.7,14
bin1;contig-10483-gene-1;Gammaproteobacteria-Thiotrichaceae;NADH_dehydrogenase/NADH:ubiquinone_oxidoreductase_75_kD_subunit_(chain_G);OP:_NADH-quinone_oxidoreductase_EC:1.6.5.3,2,6,2,49,5,0,18,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,40,bin1,Gammaproteobacteria-Thiotrichaceae,NADH_dehydrogenase/NADH:ubiquinone_oxidoreductase_75_kD_subunit_(chain_G),OP:_NADH-quinone_oxidoreductase_EC:1.6.5.3,known,2022,39.5,39.6,83
bin1;contig-1051-gene-12;Gammaproteobacteria-Thiotrichaceae;-;-,39,44,8,414,61,0,158,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,41,bin1,Gammaproteobacteria-Thiotrichaceae,-,-,hypothetical,1551,36.4,36.4,83
bin1;contig-1051-gene-13;Gammaproteobacteria-Thiotrichaceae;-;-,111,55,18,605,75,9,244,0,5,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,42,bin1,Gammaproteobacteria-Thiotrichaceae,-,-,hypothetical,1668,35.9,35.9,83
bin1;contig-1051-gene-14;Gammaproteobacteria-Thiotrichaceae;-;-,1,1,0,10,0,0,3,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,43,bin1,Gammaproteobacteria-Thiotrichaceae,-,-,hypothetical,756,32.1,32.3,83
bin1;contig-10510-gene-2;Gammaproteobacteria-Thiotrichaceae;Uncharacterized_conserved_protein_-_COG3347;-,2,3,0,17,3,0,4,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,44,bin1,Gammaproteobacteria-Thiotrichaceae,Uncharacterized_conserved_protein_-_COG3347,-,known,1941,36.3,36.3,83
bin45;contig-10521-gene-1;Bacteroidetes;Anaerobic_dehydrogenases_typically_selenocysteine-containing;-,11,10,2,11,15,0,12,0,0,0,11.55397049,15.6575296,8.972758325,15.4551387,9.938366356,5.746110586,10.918144,6.876138816,6.678525985,11.62313333,45,bin45,Bacteroidetes,Anaerobic_dehydrogenases_typically_selenocysteine-containing,-,known,675,53.8,53.8,93
bin45;contig-10521-gene-5;Bacteroidetes;-;-,6,2,1,1,10,0,5,0,0,0,11.55397049,15.6575296,8.972758325,15.4551387,9.938366356,5.746110586,10.918144,6.876138816,6.678525985,11.62313333,46,bin45,Bacteroidetes,-,-,hypothetical,786,45.7,45.7,93
bin45;contig-10521-gene-6;Bacteroidetes;-;-,111,47,4,42,65,6,98,0,0,0,11.55397049,15.6575296,8.972758325,15.4551387,9.938366356,5.746110586,10.918144,6.876138816,6.678525985,11.62313333,47,bin45,Bacteroidetes,-,-,hypothetical,942,50.7,50.7,93
bin43;contig-1054-gene-2;Bacteroidetes;IMP_dehydrogenase/GMP_reductase;-,5,4,0,12,1,0,0,0,0,0,10.86035014,14.42036705,5.248997666,15.20192186,10.34179858,1.891323222,7.593335046,1.643480065,1.685228362,1.844672905,48,bin43,Bacteroidetes,IMP_dehydrogenase/GMP_reductase,-,known,1464,44,44,69
bin32;contig-10573-gene-1;Alphaproteobacteria;Molecular_chaperone_(small_heat_shock_protein);-,11,13,2,5,21,1,1,3,4,0,5.40169814,11.63018265,5.424286489,14.74251366,9.786137746,2.999929375,4.752000785,3.462666614,3.224033878,2.067736437,49,bin32,Alphaproteobacteria,Molecular_chaperone_(small_heat_shock_protein),-,known,447,43,43.2,89
bin1;contig-10584-gene-1;Gammaproteobacteria-Thiotrichaceae;ABC-type_molybdate_transport_system_periplasmic_component;-,0,2,0,13,0,0,0,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,50,bin1,Gammaproteobacteria-Thiotrichaceae,ABC-type_molybdate_transport_system_periplasmic_component,-,known,711,30.9,30.9,83
bin1;contig-10584-gene-2;Gammaproteobacteria-Thiotrichaceae;-;-,1,0,0,18,2,0,3,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,51,bin1,Gammaproteobacteria-Thiotrichaceae,-,-,hypothetical,912,29.4,29.4,83
bin1;contig-10584-gene-3;Gammaproteobacteria-Thiotrichaceae;-;-,4,5,3,35,7,0,11,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,52,bin1,Gammaproteobacteria-Thiotrichaceae,-,-,hypothetical,546,44,44,83
bin1;contig-10584-gene-4;Gammaproteobacteria-Thiotrichaceae;Carboxylesterase_type_B;-,4,1,0,12,4,0,8,0,1,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,53,bin1,Gammaproteobacteria-Thiotrichaceae,Carboxylesterase_type_B,-,known,1653,33.9,33.9,83
bin10;contig-10595-gene-1;Gammaproteobacteria;Phosphoenolpyruvate_synthase/pyruvate_phosphate_dikinase;-,10,10,2,0,4,0,6,0,0,0,42.90822256,34.745931,12.97469049,6.344981193,7.543381052,3.883510442,17.77241488,1.940106922,1.61959163,1.63061072,54,bin10,Gammaproteobacteria,Phosphoenolpyruvate_synthase/pyruvate_phosphate_dikinase,-,known,2376,43.5,43.5,17
bin43;contig-1061-gene-14;Bacteroidetes;6Fe-6S_prismane_cluster-containing_protein;-,43,7,2,14,13,2,7,0,0,0,10.86035014,14.42036705,5.248997666,15.20192186,10.34179858,1.891323222,7.593335046,1.643480065,1.685228362,1.844672905,55,bin43,Bacteroidetes,6Fe-6S_prismane_cluster-containing_protein,-,known,1965,47.4,47.5,69
bin18;contig-1065-gene-4;Gammaproteobacteria;-;-,4,1,1,2,0,71,7,0,0,0,2.781512605,35.93655462,5.068487395,3.871008403,11.24180672,5.452941176,29.97289916,1.095168067,1.235504202,1.030882353,56,bin18,Gammaproteobacteria,-,-,hypothetical,1683,59.1,59.1,79
bin18;contig-1065-gene-9;Gammaproteobacteria;-;-,1,2,1,1,0,7,14,0,0,0,2.781512605,35.93655462,5.068487395,3.871008403,11.24180672,5.452941176,29.97289916,1.095168067,1.235504202,1.030882353,57,bin18,Gammaproteobacteria,-,-,hypothetical,1221,53.5,53.5,79
bin1;contig-1067-gene-1;Gammaproteobacteria-Thiotrichaceae;Outer_membrane_receptor_for_ferrienterochelin_and_colicins;-,3,4,0,24,3,0,5,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,58,bin1,Gammaproteobacteria-Thiotrichaceae,Outer_membrane_receptor_for_ferrienterochelin_and_colicins,-,known,2130,37.1,37.1,83
bin1;contig-1067-gene-3;Gammaproteobacteria-Thiotrichaceae;Polyketide_synthase_modules_and_related_proteins;-,1,0,1,15,2,0,5,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,59,bin1,Gammaproteobacteria-Thiotrichaceae,Polyketide_synthase_modules_and_related_proteins,-,known,5385,33.2,33.1,83
bin1;contig-1067-gene-4;Gammaproteobacteria-Thiotrichaceae;Non-ribosomal_peptide_synthetase_modules_and_related_proteins;-,1,1,1,27,1,0,7,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,60,bin1,Gammaproteobacteria-Thiotrichaceae,Non-ribosomal_peptide_synthetase_modules_and_related_proteins,-,known,5400,32.6,32.6,83
bin14;contig-10687-gene-3;Gammaproteobacteria-Cellvibrionales;Alcohol_dehydrogenase_class_IV;Alkane_degradation_pathway,1,3,2,1,12,0,2,1,0,0,22.66167247,29.27665505,15.42439024,25.428223,44.62264808,7.624738676,13.93554007,9.600696864,10.77909408,5.391637631,61,bin14,Gammaproteobacteria-Cellvibrionales,Alcohol_dehydrogenase_class_IV,Alkane_degradation_pathway,known,1215,46,46,82
bin1;contig-1070-gene-1;Gammaproteobacteria-Thiotrichaceae;-;-,2,3,0,40,4,2,8,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,62,bin1,Gammaproteobacteria-Thiotrichaceae,-,-,hypothetical,2136,34.7,34.7,83
bin1;contig-1070-gene-6;Gammaproteobacteria-Thiotrichaceae;Calx-beta_domain;-,2,2,1,16,3,0,7,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,63,bin1,Gammaproteobacteria-Thiotrichaceae,Calx-beta_domain,-,known,3489,33.4,33.4,83
bin7;contig-10714-gene-1;Gammaproteobacteria-Colwellia;Alanine_dehydrogenase;-,4,1,0,1,6,5,1,12,16,52,15.44551251,46.31566655,18.25419056,27.30076461,44.37321012,13.7656784,16.33658173,19.61135073,27.18083706,30.34738124,64,bin7,Gammaproteobacteria-Colwellia,Alanine_dehydrogenase,-,known,1137,40.6,40.6,57
bin1;contig-1072-gene-7;Gammaproteobacteria-Thiotrichaceae;Formate/nitrite_family_of_transporters;-,0,0,0,14,4,0,1,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,65,bin1,Gammaproteobacteria-Thiotrichaceae,Formate/nitrite_family_of_transporters,-,known,852,35.7,35.7,83
bin11;contig-10735-gene-1;Gammaproteobacteria-Cellvibrionales;UDP-N-acetyl-D-mannosaminuronate_dehydrogenase;-,3,11,1,4,5,1,12,0,0,0,101.3073826,418.6114094,57.84496644,112.9375839,143.0852349,30.55637584,95.27919463,25.54295302,21.8738255,15.02483221,66,bin11,Gammaproteobacteria-Cellvibrionales,UDP-N-acetyl-D-mannosaminuronate_dehydrogenase,-,known,225,50.7,51.1,30
bin1;contig-10743-gene-2;Gammaproteobacteria-Thiotrichaceae;Cytochrome_c-type_biogenesis_protein_CcmE;-,0,1,0,10,0,0,0,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,67,bin1,Gammaproteobacteria-Thiotrichaceae,Cytochrome_c-type_biogenesis_protein_CcmE,-,known,459,35.7,35.5,83
bin1;contig-10743-gene-4;Gammaproteobacteria-Thiotrichaceae;Carbamoylphosphate_synthase_small_subunit;-,0,0,1,15,3,0,4,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,68,bin1,Gammaproteobacteria-Thiotrichaceae,Carbamoylphosphate_synthase_small_subunit,-,known,1125,38.3,38.4,83
bin1;contig-1078-gene-1;Gammaproteobacteria-Thiotrichaceae;Major_Facilitator_Superfamily;-,6,2,2,66,12,0,18,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,69,bin1,Gammaproteobacteria-Thiotrichaceae,Major_Facilitator_Superfamily,-,known,1497,36.5,36.4,83
bin1;contig-1078-gene-16;Gammaproteobacteria-Thiotrichaceae;Putative_lipoprotein;-,2,0,0,10,1,0,4,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,70,bin1,Gammaproteobacteria-Thiotrichaceae,Putative_lipoprotein,-,known,1749,32.2,32.2,83
bin1;contig-1078-gene-7;Gammaproteobacteria-Thiotrichaceae;DNA-directed_RNA_polymerase_specialized_sigma_subunit_sigma54_homolog;-,3,2,0,10,0,0,3,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,71,bin1,Gammaproteobacteria-Thiotrichaceae,DNA-directed_RNA_polymerase_specialized_sigma_subunit_sigma54_homolog,-,known,1464,32.2,32.1,83
